,model_type,parameters,duration,accuracy,precision,recall,F1,Average Precision Score,AUC ROC Score,"Precision, Recall and F1 at 5","Precision, Recall and F1 at 10","Precision, Recall and F1 at 20"
42,Tree,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 10}",0.5625340938568115,0.947489019033675,0.9440936608795717,0.9834678007797027,0.9633785846662821,0.9880594623431453,0.978308109282467,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
43,Tree,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 2}",0.5924513339996338,0.94599560761347,0.9445944996134267,0.9806220943565368,0.9622711952824929,0.9832102484379233,0.9735827800055873,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
44,Tree,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 5}",0.5874307155609131,0.9459663250366033,0.9445922742471559,0.9805803990243293,0.9622499654772073,0.9836903691928105,0.9741885529659975,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
45,Tree,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 10}",0.5824768543243408,0.9464714494875549,0.944523585000301,0.9814247295015323,0.962620644528055,0.9842769567258941,0.9749033418257146,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
46,Tree,"{'criterion': 'entropy', 'max_depth': 50, 'min_samples_split': 2}",0.5884613990783691,0.9460102489019033,0.9446045404797526,0.9806325181895886,0.9622814240488526,0.9832529296724476,0.9736287998469039,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
47,Tree,"{'criterion': 'entropy', 'max_depth': 50, 'min_samples_split': 5}",0.5914180278778076,0.9459736456808199,0.9446196176092545,0.9805595513582255,0.962254114710666,0.9837162248304236,0.9742231899231784,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
48,Tree,"{'criterion': 'entropy', 'max_depth': 50, 'min_samples_split': 10}",0.6632261276245117,0.9464494875549049,0.9445219153482679,0.9813934580023767,0.9626047348591351,0.9842737522905214,0.9748965537485279,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
49,Tree,"{'criterion': 'entropy', 'max_depth': 100, 'min_samples_split': 2}",0.6433882713317871,0.94599560761347,0.9446034280206043,0.9806116705234849,0.962270809359417,0.9832069827569665,0.9735745267577487,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
50,Tree,"{'criterion': 'entropy', 'max_depth': 100, 'min_samples_split': 5}",0.5864346027374268,0.9459809663250366,0.9445933869526363,0.980601246690433,0.9622605804884286,0.9836883300073234,0.974183009489248,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
51,Tree,"{'criterion': 'entropy', 'max_depth': 100, 'min_samples_split': 10}",0.5854322910308838,0.9464641288433382,0.94452302846079,0.9814143056684804,0.9626153413593028,0.9842745700149924,0.9748987145932785,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
52,KNN,"{'algorithm': 'auto', 'n_neighbors': 1, 'weights': 'uniform'}",97.45332312583923,0.9169985358711567,0.9415147909229452,0.9402193174474117,0.9408666082530146,0.9272142886709375,0.9012191851093844,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
53,KNN,"{'algorithm': 'auto', 'n_neighbors': 1, 'weights': 'distance'}",97.46451878547668,0.9169985358711567,0.9415147909229452,0.9402193174474117,0.9408666082530146,0.9272142886709375,0.9012191851093844,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
54,KNN,"{'algorithm': 'auto', 'n_neighbors': 50, 'weights': 'uniform'}",183.59918427467346,0.9411493411420205,0.9366151706323581,0.9827068609669147,0.9591075797730291,0.9841560476977163,0.9746153818356065,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
55,KNN,"{'algorithm': 'auto', 'n_neighbors': 50, 'weights': 'distance'}",182.27676963806152,0.945,0.944993004599853,0.9786519899097296,0.9615280231456588,0.9822015778545099,0.9729433611800756,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
56,Boosted,"{'algorithm': 'SAMME', 'n_estimators': 1}",0.3440825939178467,0.8350366032210834,0.9562520201894626,0.8017908145183147,0.8722359558206518,0.9059161359328738,0.8576283045197681,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
57,Boosted,"{'algorithm': 'SAMME', 'n_estimators': 10}",1.1180462837219238,0.9024670571010249,0.8368948056620829,0.9940688389934746,0.9087357362365104,0.9722042628038565,0.9498841189200541,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
58,Boosted,"{'algorithm': 'SAMME', 'n_estimators': 100}",8.866332769393921,0.9307686676427526,0.7998630743155803,0.9986240540371505,0.8882604644262819,0.9792463425309067,0.959286815948157,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
59,Boosted,"{'algorithm': 'SAMME', 'n_estimators': 1000}",85.71586728096008,0.9312298682284041,0.7982802579613058,0.9986865970354619,0.8873082907312736,0.9798252963775462,0.9602532931092006,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
60,Logit,"{'C': 0.001, 'penalty': 'l1'}",1.6076974868774414,0.9304465592972182,0.9375866992031268,0.9652156691058436,0.951200595803693,0.975239789842711,0.9557734138799466,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
61,Logit,"{'C': 0.001, 'penalty': 'l2'}",0.972407341003418,0.9296046852122987,0.9326977061276869,0.9697396126503638,0.9508580422939729,0.9762525630504769,0.9571678442932204,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
62,Logit,"{'C': 0.01, 'penalty': 'l1'}",2.5033059120178223,0.928909224011713,0.9390754376852333,0.9611295265495028,0.949974500440447,0.9784251173333686,0.959475379258526,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
63,Logit,"{'C': 0.01, 'penalty': 'l2'}",1.1509582996368408,0.928814055636896,0.9386116651064349,0.9615256322054746,0.9499304876164976,0.9777797651614734,0.9588795251650754,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
64,Logit,"{'C': 0.1, 'penalty': 'l1'}",2.457491397857666,0.9244948755490483,0.9394645533496212,0.9539579294098026,0.9466557709415149,0.9790727576424687,0.9600362771383145,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
65,Logit,"{'C': 0.1, 'penalty': 'l2'}",1.4211995601654053,0.9245754026354319,0.9393721715394009,0.9541872537369441,0.9467217565324412,0.9787673737894189,0.9598173324276508,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
66,Logit,"{'C': 1, 'penalty': 'l1'}",1.885953664779663,0.924099560761347,0.9397290685962135,0.9530510559342882,0.9463431800774216,0.9791699135061445,0.9600837354921744,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
67,Logit,"{'C': 1, 'penalty': 'l2'}",2.0475618839263916,0.9241508052708638,0.9398328519002046,0.9530093606020806,0.9463752439018079,0.9791084695244479,0.9600497633215722,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
68,Logit,"{'C': 10, 'penalty': 'l1'}",2.033565044403076,0.924099560761347,0.9397561878135022,0.9530197844351325,0.946341513906284,0.979172225857807,0.9600829347236095,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
69,Logit,"{'C': 10, 'penalty': 'l2'}",2.0814363956451416,0.9241581259150805,0.9398334703947369,0.9530197844351325,0.9463806970509384,0.9791610040920341,0.9600765688185819,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
